Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difference,Condition
2,2,2,28,3.6,1.6975,1.21,2
2,1,1,63,1.052,1.3307,1.16,2
2,2,1,94,3.251,1.8139,0.36,1
2,1,1,75,2.584,1.6641,1.16,2
2,1,1,86,1.201,1.4309,1.11,2
2,1,1,85,1.401,1.8643,0.41,1
2,1,1,63,2.101,1.5975,1.11,2
2,2,2,69,1.201,1.5475,1.06,2
2,1,2,13,4.9,2.6638,1.06,2
2,1,2,100,2.168,1.7473,0.41,1
2,2,2,0,1.001,3.6139,1.11,2
2,2,2,63,1.901,1.5645,1.11,2
2,1,2,100,4.7,1.5977,0.46,1
2,1,1,40,2.834,1.6813,1.06,2
2,1,2,78,3.406,1.894,0.16,3
2,2,2,90,3.457,2.4623,0.21,3
2,2,2,84,2.208,1.9628,0.21,3
2,1,1,75,2.458,1.6638,0.16,3
2,2,2,87,3.257,1.9303,0.16,3
2,1,2,55,2.674,3.1465,0.11,3
2,2,2,54,2.408,1.5472,0.16,3
2,1,2,65,2.308,2.0141,0.16,3
2,2,2,54,1.458,2.1303,0.21,3
2,2,NaN,NaN,NaN,NaN,0.21,3
2,1,1,71,3.358,1.9805,0.21,3
2,1,1,79,3.208,1.4641,0.16,3
2,2,1,75,5.507,1.8972,0.16,3
2,2,2,76,3.308,1.8141,0.21,3
2,2,2,100,2.775,1.5647,0.21,3
2,1,2,17,2.408,1.4476,0.16,3
2,1,2,61,4.857,1.9304,0.21,3
2,1,1,51,2.058,1.3648,0.26,3
2,2,2,68,2.058,1.9972,0.26,3
2,1,2,100,2.041,1.5475,0.21,3
2,2,2,85,1.808,1.6647,0.26,3
2,1,2,55,3.708,1.7472,0.26,3
2,2,1,82,5.057,1.8812,0.31,3
2,2,2,82,3.008,1.4139,0.36,3
2,2,1,12,1.558,3.5968,0.36,3
2,2,2,63,3.607,2.2138,0.41,3
2,1,1,61,3.258,1.914,0.41,3
2,1,NaN,NaN,NaN,NaN,0.36,3
2,2,2,94,3.757,1.9973,0.36,3
2,2,2,97,2.108,1.8973,0.36,3
2,1,1,84,2.808,2.2969,0.31,3
2,1,1,87,2.641,2.3307,0.31,3
2,1,1,96,2.908,1.9973,0.26,3
2,2,1,95,4.257,2.2305,0.26,3
2,1,1,91,2.957,2.2471,0.31,3
2,1,2,77,2.958,3.1801,0.31,3
2,2,1,6,3.001,1.2134,1.06,2
2,2,2,1,4.55,1.531,1.11,2
2,1,1,8,3.834,1.9812,1.11,2
2,2,1,12,1.834,1.4808,1.06,2
2,2,2,45,1.951,2.6303,0.51,1
2,1,1,72,1.535,1.6312,1.11,2
2,1,1,73,2.401,1.564,1.11,2
2,2,2,84,1.351,1.4643,0.51,1
2,1,1,62,2.334,1.5141,1.06,2
2,2,2,89,2.501,1.9971,0.46,1
2,2,2,92,1.4,1.8312,0.46,1
2,2,NaN,NaN,NaN,NaN,0.41,1
2,2,2,82,4.5,1.8974,1.06,2
2,2,1,66,1.651,1.6804,0.41,1
2,2,2,85,1.551,1.6642,0.46,1
2,2,1,70,2.151,1.9639,0.46,1
2,2,2,24,3.001,1.5979,1.01,2
2,1,1,76,1.501,1.6804,1.01,2
2,2,NaN,NaN,NaN,NaN,0.51,1
2,2,NaN,NaN,NaN,NaN,0.56,1
2,1,1,100,3.6,1.7806,0.56,1
2,1,1,93,1.751,1.6309,0.56,1
2,1,2,71,2.201,1.4311,0.96,2
2,1,NaN,NaN,NaN,NaN,0.51,1
2,1,1,100,1.334,1.7973,1.01,2
2,2,2,88,1.001,2.0143,1.01,2
2,1,1,39,1.967,1.8142,0.96,2
2,2,2,42,1.102,1.4972,0.51,1
2,1,2,71,3.001,2.0308,0.51,1
2,2,2,89,1.451,1.8475,0.56,1
2,2,2,99,1.052,1.3476,0.56,1
2,2,2,88,2.901,1.4641,0.96,2
2,2,2,15,5.9,2.764,0.91,2
2,2,1,88,2.951,2.0644,0.91,2
2,2,1,82,1.551,1.7808,0.96,2
2,2,2,100,0.902,1.5975,0.51,1
2,2,2,100,0.802,1.3475,0.51,1
2,1,1,63,2.451,1.5638,1.01,2
2,1,1,74,1.601,2.1805,0.46,1
2,2,2,71,1.101,1.7973,0.46,1
2,1,1,82,2.235,3.0636,1.01,2
2,2,1,85,3.351,2.1973,0.41,1
2,1,1,86,2.517,1.7306,0.96,2
2,1,1,81,2.3,1.9473,0.96,2
2,1,1,83,1.751,1.8808,0.46,1
2,2,1,75,5.4,1.9146,0.46,1
2,2,2,72,3.7,1.8642,0.91,2
2,1,NaN,NaN,NaN,NaN,0.51,1
2,1,2,82,4.1,1.4982,0.91,2
2,1,1,87,1.501,4.7135,0.96,2
2,1,1,64,1.934,1.7646,0.96,2
