Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,DotDiff,Accuracy
2,1,1,NaN,0.456,NaN,24,1
2,1,1,NaN,0.646,NaN,24,1
2,0,0,NaN,0.633,NaN,60,1
2,1,0,NaN,0.583,NaN,24,0
2,1,1,NaN,0.421,NaN,24,1
2,0,0,NaN,0.583,NaN,24,1
2,1,0,NaN,0.714,NaN,60,0
2,0,0,NaN,0.646,NaN,60,1
2,0,0,NaN,0.488,NaN,24,1
2,0,1,NaN,0.5,NaN,60,0
2,1,1,NaN,0.568,NaN,60,1
2,1,0,NaN,0.471,NaN,60,0
2,0,0,NaN,0.582,NaN,60,1
2,1,1,NaN,0.471,NaN,24,1
2,0,0,NaN,0.585,NaN,24,1
2,0,0,NaN,0.485,NaN,24,1
2,0,1,NaN,5.002,NaN,24,0
2,0,0,NaN,0.872,NaN,60,1
2,1,1,NaN,0.49,NaN,60,1
2,0,0,1,0.517,2055,24,1
2,1,1,NaN,0.523,NaN,24,1
2,0,1,1,0.521,1581,24,0
2,1,1,NaN,0.632,NaN,24,1
2,0,1,NaN,0.521,NaN,24,0
2,1,1,1,0.599,1412,24,1
2,0,1,NaN,0.494,NaN,24,0
2,0,1,NaN,1.589,NaN,24,0
2,1,1,NaN,0.633,NaN,24,1
2,1,1,1,0.505,2532,24,1
2,0,0,1,0.631,1526,24,1
2,1,1,NaN,0.663,NaN,24,1
2,0,0,NaN,0.712,NaN,24,1
2,1,1,1,0.566,3389,24,1
2,0,0,1,0.808,1261,24,1
2,0,0,NaN,0.873,NaN,24,1
2,1,1,1,0.633,1420,24,1
2,0,0,1,0.616,1741,24,1
2,1,1,1,0.585,1292,24,1
2,1,1,NaN,0.441,NaN,24,1
2,1,1,NaN,0.505,NaN,60,1
2,1,1,NaN,0.502,NaN,60,1
2,1,0,1,0.453,2717,24,0
2,0,1,1,0.536,1611,24,0
2,0,0,NaN,0.551,NaN,60,1
2,0,0,0.5,0.474,1980,24,1
2,1,1,NaN,0.456,NaN,60,1
2,0,1,0.5,0.521,1749,24,0
2,1,1,0.5,0.593,3524,24,1
2,0,0,NaN,0.641,NaN,60,1
2,0,0,NaN,0.457,NaN,60,1
2,1,1,1,0.568,1869,24,1
2,1,1,1,0.501,1996,60,1
2,1,1,1,0.616,2579,24,1
2,0,0,1,0.542,1133,24,1
2,0,0,0.5,0.68,1229,60,1
2,1,1,1,0.661,1397,60,1
2,0,0,0.5,0.625,1411,24,1
2,0,0,1,0.608,1549,60,1
2,1,0,0.5,0.615,1539,24,0
2,0,0,0.5,0.448,1239,24,1
2,0,1,1,0.557,1389,60,0
2,1,1,0.5,0.633,1362,24,1
2,1,1,1,0.545,1358,60,1
2,1,1,0.5,8.564,1485,24,1
2,0,0,NaN,0.663,NaN,24,1
2,0,1,0.5,0.473,1501,24,0
2,1,0,NaN,0.599,NaN,24,0
2,0,1,1,0.628,1764,24,0
2,1,1,NaN,0.588,NaN,24,1
2,0,1,NaN,0.573,NaN,24,0
2,1,0,NaN,0.609,NaN,24,0
2,0,1,0.5,0.84,10429,24,0
2,1,1,1,0.516,1216,24,1
2,0,1,NaN,0.929,NaN,24,0
2,0,0,1,0.574,1349,24,1
2,1,1,NaN,0.528,NaN,24,1
2,1,1,1,0.649,1284,24,1
2,1,1,1,0.577,1219,24,1
2,0,0,NaN,0.59,NaN,24,1
2,1,1,NaN,0.627,NaN,60,1
2,1,0,NaN,0.712,NaN,60,0
