Subj_idx,Stimulus,Response,Confidence,Visibility,RT_dec,contrast,Accuracy,Training,ScaleOrder
1,2,1,-9.7302,-2.4479,1.1965,0,0,0,Visibility first
1,1,2,-5.4743,-1.4076,0.9814,2.2,0,0,Visibility first
1,1,2,-7.6496,-2.1642,0.9332,5,0,0,Visibility first
1,1,2,-6.2309,-5.4743,1.4427,3.9,0,0,Visibility first
1,1,1,12.0231,12.0231,0.7821,6.9,1,0,Visibility first
1,1,1,-6.7038,-1.9751,1.0473,3.9,1,0,Visibility first
1,2,2,-5.9472,-6.9875,1.1479,0,1,0,Visibility first
1,1,1,12.0231,12.0231,1.1493,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9055,5,1,0,Visibility first
1,2,2,-3.3937,-1.4076,0.71,0,1,0,Visibility first
1,1,1,12.0231,12.0231,0.84,5.5,1,0,Visibility first
1,1,2,6.5374,1.7141,3.3483,0,0,0,Visibility first
1,2,1,-5.3798,-4.9069,2.7712,2.2,0,0,Visibility first
1,2,1,-5.3798,-2.6371,1.1687,0,0,0,Visibility first
1,1,2,-1.9751,-1.5968,1.3096,2.2,0,0,Visibility first
1,2,1,-0.8402,-1.2185,1.1644,2.2,0,0,Visibility first
1,1,1,6.2537,0.9575,0.9619,3.9,1,0,Visibility first
1,2,2,7.6723,2.9435,0.945,3.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.6772,6.9,1,0,Visibility first
1,1,2,-0.8402,-0.9348,1.4247,2.2,0,0,Visibility first
1,2,2,-3.4883,-3.6774,0.8389,3.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.9867,5,1,0,Visibility first
1,2,2,10.415,8.1452,0.9611,5,1,0,Visibility first
1,1,1,8.9963,12.0231,0.8054,5.5,1,0,Visibility first
1,1,2,8.7126,7.0103,1.2055,0,0,0,Visibility first
1,1,2,8.9963,7.6723,0.9045,2.2,0,0,Visibility first
1,1,2,-5.1906,-2.1642,0.8315,2.2,0,0,Visibility first
1,2,2,12.0231,12.0231,1.2468,5.5,1,0,Visibility first
1,2,2,-5.6635,-5.3798,0.9762,0,1,0,Visibility first
1,2,2,-1.9751,-1.8805,1.0656,3.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7286,6.9,1,0,Visibility first
1,1,1,8.2397,8.9963,0.9857,3.9,1,0,Visibility first
1,1,1,12.0231,12.0231,1.5687,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.6536,6.9,1,0,Visibility first
1,1,1,5.1188,5.4971,0.6276,0,1,0,Visibility first
1,2,2,-6.6092,-5.6635,0.8722,2.2,1,0,Visibility first
1,2,2,4.2676,1.5249,1.2077,3.9,1,0,Visibility first
1,2,2,5.2133,1.9978,0.8628,3.9,1,0,Visibility first
1,2,2,5.4971,4.5513,1.2514,5,1,0,Visibility first
1,2,2,5.4025,5.1188,0.821,5,1,0,Visibility first
1,2,2,6.1591,8.4289,1.844,5,1,0,Visibility first
1,1,1,7.294,7.3886,0.95,5.5,1,0,Visibility first
1,1,1,8.2397,6.5374,1.4879,5.5,1,0,Visibility first
1,2,2,7.0103,6.4428,1.0893,6.9,1,0,Visibility first
1,1,1,7.6723,6.4428,1.2512,5,1,0,Visibility first
1,1,1,9.5638,9.2801,1.0093,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.8174,5.5,1,0,Visibility first
1,2,2,12.0231,12.0231,0.7173,6.9,1,0,Visibility first
1,1,1,3.7947,4.0784,1.21,2.2,1,0,Visibility first
1,1,1,4.0784,1.7141,0.8569,3.9,1,0,Visibility first
1,1,2,3.7001,1.9978,1.6879,3.9,0,0,Visibility first
1,1,2,-3.6774,-4.7177,0.9735,0,0,0,Visibility first
1,1,2,-4.3394,-2.4479,0.7789,2.2,0,0,Visibility first
1,1,1,12.0231,12.0231,0.7036,6.9,1,0,Visibility first
1,2,2,6.7265,5.4971,1.7445,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7228,3.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8441,5,1,0,Visibility first
1,1,2,-4.6232,-1.9751,1.0113,3.9,0,0,Visibility first
1,1,1,12.0231,12.0231,0.6881,6.9,1,0,Visibility first
1,2,2,-0.3673,-0.651,0.88,3.9,1,0,Visibility first
1,1,2,0.0117,0.0117,1.6833,3.9,0,0,Visibility first
1,1,1,12.0231,12.0231,0.8581,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7529,5,1,0,Visibility first
1,2,2,12.0231,12.0231,1.1169,6.9,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8338,6.9,1,0,Visibility first
1,2,2,10.6987,12.0231,0.8558,5,1,0,Visibility first
1,1,2,4.6459,2.3761,1.0443,0,0,0,Visibility first
1,1,1,6.5374,1.5249,1.0277,0,1,0,Visibility first
1,1,1,12.0231,12.0231,0.8326,6.9,1,0,Visibility first
1,1,2,-4.434,-0.3673,1.573,0,0,0,Visibility first
1,1,1,12.0231,12.0231,0.7284,5.5,1,0,Visibility first
1,1,1,12.0231,12.0231,0.7983,6.9,1,0,Visibility first
1,1,1,9.5638,12.0231,0.6852,5,1,0,Visibility first
1,2,2,-2.7317,-2.4479,1.9828,2.2,1,0,Visibility first
1,2,2,-4.3394,-1.9751,1.3608,2.2,1,0,Visibility first
1,1,2,-3.3937,-2.7317,0.755,0,0,0,Visibility first
1,2,2,12.0231,12.0231,1.2,5.5,1,0,Visibility first
1,2,2,-1.1239,-1.1239,0.6701,2.2,1,0,Visibility first
1,1,2,-1.2185,-3.2045,0.7889,0,0,0,Visibility first
1,1,1,12.0231,11.2661,0.8897,5,1,0,Visibility first
1,1,2,-2.1642,-2.4479,1.5098,2.2,0,0,Visibility first
1,2,1,-3.3937,-1.9751,1.0541,0,0,0,Visibility first
1,1,1,4.5513,5.2133,1.0699,3.9,1,0,Visibility first
1,1,1,6.1591,6.4428,0.7473,5.5,1,0,Visibility first
1,1,1,9.5638,8.9963,0.9363,6.9,1,0,Visibility first
1,2,2,12.0231,12.0231,0.9834,5.5,1,0,Visibility first
1,2,2,12.0231,8.2397,1.1132,5,1,0,Visibility first
1,1,1,12.0231,6.7265,0.8882,5,1,0,Visibility first
1,2,1,0.0117,0.0117,2.039,2.2,0,0,Visibility first
1,1,1,12.0231,7.294,0.7492,5.5,1,0,Visibility first
