Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy
20,p29_rpm.gif,Option 4,20,57.043,1.514,15,0
20,p31_rpm.gif,Option 7,40,42.08,1.525,16,0
20,p33_rpm.gif,Option 6,40,32.867,1.615,17,1
20,p34_rpm.gif,Option 5,0,19.083,0.606,18,0
20,p35_rpm.gif,Option 5,0,20.337,1.643,19,0
20,p36_rpm.gif,Option 6,20,31.556,0.757,20,0
21,p1_rpm.gif,Option 6,60,21.115,6.389,1,1
21,p3_rpm.gif,Option 8,80,11.449,2.046,2,1
21,p5_rpm.gif,Option 4,60,17.848,2.741,3,1
21,p7_rpm.gif,Option 7,80,23.907,7.582,4,1
21,p9_rpm.gif,Option 3,20,34.313,4.861,5,0
21,p11_rpm.gif,Option 6,80,22.414,2.333,6,1
21,p13_rpm.gif,Option 9,80,17.211,2.753,7,0
21,p15_rpm.gif,Option 3,60,30.198,1.821,8,1
21,p17_rpm.gif,Option 4,60,24.799,2.679,9,0
21,p19_rpm.gif,Option 4,80,20.935,1.929,10,1
21,p21_rpm.gif,Option 2,60,27.758,2.136,11,0
21,p23_rpm.gif,Option 9,60,24.397,1.861,12,0
21,p25_rpm.gif,Option 2,20,52.819,1.755,13,0
21,p27_rpm.gif,Option 8,20,50.494,6.372,14,1
21,p29_rpm.gif,Option 7,0,34.422,0.518,15,1
21,p31_rpm.gif,Option 4,40,61.729,2.861,16,0
21,p33_rpm.gif,Option 4,60,52.124,2.056,17,0
21,p34_rpm.gif,Option 9,0,31.208,2.16,18,0
21,p35_rpm.gif,Option 2,60,12.101,2.032,19,0
21,p36_rpm.gif,Option 5,20,30.674,3.183,20,0
22,p1_rpm.gif,Option 6,60,20.028,6.974,1,1
22,p3_rpm.gif,Option 8,60,8.996,5.96,2,1
22,p5_rpm.gif,Option 4,80,17.16,4.055,3,1
22,p7_rpm.gif,Option 7,80,9.949,3.043,4,1
22,p9_rpm.gif,Option 9,100,5.843,5.96,5,1
22,p11_rpm.gif,Option 6,80,13.184,2.282,6,1
22,p13_rpm.gif,Option 3,60,19.672,4.104,7,1
22,p15_rpm.gif,Option 3,20,18.659,1.749,8,1
22,p17_rpm.gif,Option 7,80,9.794,2.262,9,1
22,p19_rpm.gif,Option 4,40,14.132,2.216,10,1
22,p21_rpm.gif,Option 9,20,26.527,3.296,11,1
22,p23_rpm.gif,Option 7,40,46.019,1.438,12,1
22,p25_rpm.gif,Option 2,0,21.357,2.921,13,0
22,p27_rpm.gif,Option 8,20,25.331,0.804,14,1
22,p29_rpm.gif,Option 3,0,32.205,0.717,15,0
22,p31_rpm.gif,Option 6,0,39.906,0.822,16,0
22,p33_rpm.gif,Option 6,20,35.807,1.475,17,1
22,p34_rpm.gif,Option 3,0,45.209,0.709,18,0
22,p35_rpm.gif,Option 4,40,25.123,1.253,19,1
