Subj_idx,Stimulus,Response,Confidence,RT_decConf,difficulty,Accuracy,Training
1,2,2,-0.1719,2.9992,0.0333,1,0
1,2,1,-0.1485,21.373,0.0667,0,0
1,2,2,-0.3985,3.2161,0.0667,1,0
1,1,1,0.127,3.7158,0.1333,1,0
1,1,2,0,2.6825,0.1333,0,0
1,2,1,-0.461,4.566,0.1333,0,0
1,1,2,0,2.4828,0.0167,0,0
1,2,2,-0.4063,2.4661,0.0333,1,0
1,1,1,0.246,3.7158,0.1333,1,0
1,1,2,0,2.4742,0.0667,0,0
1,1,1,0.4286,3.0244,0.0167,1,0
1,1,2,0.1508,3.4908,0.0167,0,0
1,2,1,-0.5235,2.4661,0.0333,0,0
1,1,2,-0.2813,4.6706,0.0667,0,0
1,2,1,-0.461,3.7827,0.0167,0,0
1,1,2,-0.0625,3.341,0.0667,0,0
1,1,1,0.1905,3.2244,0.1333,1,0
1,1,2,-0.4219,3.5075,0.0083,0,0
1,2,1,0.0952,3.8327,0.0083,0,0
1,1,2,-0.086,3.2911,0.0333,0,0
1,2,1,-0.6719,3.3244,0.0083,0,0
1,2,2,0.2302,3.0827,0.0167,1,0
