Subj_idx,Stimulus,Response,Confidence,RT_dec,NoiseLevel,Condition,Accuracy,Mean_direction,SD_direction
1,0,1,70,0.201261997,1.160643953,6,0,-46.51828794,57.7537759
1,0,0,93,0.257123947,1.160643953,6,1,-45.07596875,55.07736208
1,0,1,51,1.287114143,1.160643953,6,0,-43.29987876,57.96613293
1,0,0,74,0.342988968,1.160643953,6,1,-42.87581143,56.1060025
1,0,1,80,0.292850971,0.715584993,3,0,-46.67525668,37.49511384
1,1,0,71,0.24081111,1.160643953,6,0,36.93812222,58.25915759
1,1,1,75,0.124820948,0.715584993,3,1,48.25057307,37.35964489
1,0,0,76,0.218734026,0.715584993,3,1,-46.92502977,40.3167391
1,0,1,67,0.176865816,1.160643953,6,0,-34.9916105,55.58749653
1,1,1,62,0.234830141,1.160643953,6,1,38.84106462,55.77291418
1,1,1,69,0.386888027,0.715584993,3,1,46.52514342,38.51399216
1,1,1,79,0.374740124,0.715584993,3,1,46.5871759,41.43049409
1,0,0,71,0.180773973,0.715584993,3,1,-51.19892449,34.62569438
1,1,1,78,0.034597158,1.160643953,6,1,45.81019374,55.14541621
1,1,1,68,0.506609917,1.160643953,6,1,47.18393019,55.8331661
1,0,0,65,0.584751129,1.160643953,6,1,-43.6256826,54.38069842
1,1,1,70,0.914223909,0.715584993,3,1,40.9224789,39.72001658
1,1,1,80,0.350432873,1.160643953,6,1,39.29314234,56.77034432
1,0,1,73,0.368266821,1.160643953,6,0,-41.50069025,55.22879362
1,0,1,64,1.384184122,0.715584993,2,0,-46.43306266,38.00208736
1,0,0,74,0.686161041,1.160643953,5,1,-46.55702343,57.56013101
1,0,1,70,0.00800395,1.160643953,5,0,-48.21681576,55.19402151
1,1,1,70,0.034172058,1.160643953,5,1,42.11555619,58.83381405
1,1,0,70,0.32198,1.160643953,5,0,52.04192351,53.12753233
1,1,1,73,0.117908001,0.715584993,2,1,42.7635558,37.82481038
1,1,0,68,0.306005955,1.160643953,5,0,39.67417389,56.56198377
1,1,1,75,0.083840132,0.715584993,2,1,43.71938812,38.84737141
1,0,0,78,0.290113926,0.715584993,2,1,-39.99271135,38.62592321
1,1,1,77,0.283885956,0.715584993,2,1,43.87771319,38.20405225
1,1,1,78,0.547790051,1.160643953,5,1,46.6563085,56.34014502
1,0,1,68,0.993716002,1.160643953,5,0,-49.49131606,59.25258227
1,1,1,74,0.439655066,0.715584993,2,1,46.108382,39.58291062
1,1,1,73,0.379539967,0.715584993,2,1,44.92471087,38.3994499
1,0,1,75,1.23378706,0.715584993,2,0,-44.03384431,38.45451799
1,0,0,65,0.307477951,1.160643953,5,1,-43.49729532,58.47178191
1,0,1,84,1.533591032,1.160643953,5,0,-48.44004092,57.06512051
1,0,1,77,0.545354128,1.160643953,5,0,-40.54121898,58.4255268
1,0,1,77,0.385308027,1.160643953,5,0,-53.12896078,55.83680261
1,0,1,63,0.307327032,1.160643953,5,0,-41.83590577,56.68949839
1,0,0,81,0.371229887,0.715584993,2,1,-43.7334636,37.06249312
1,1,1,86,0.459285975,1.160643953,5,1,35.60098624,58.59329789
1,0,1,71,2.537107944,1.160643953,5,0,-43.00203982,56.9711667
1,0,0,72,0.151086092,0.715584993,2,1,-41.92754973,35.36403777
1,1,0,63,0.400990009,1.160643953,5,0,44.06350937,55.53881244
1,0,0,95,1.598986149,0.715584993,2,1,-44.29831974,37.79179897
1,1,1,73,1.089085817,0.715584993,2,1,42.95510735,40.45813446
1,1,0,75,0.33477211,1.160643953,5,0,44.70073872,55.46717494
1,0,0,76,0.176898003,0.715584993,2,1,-41.48704712,38.2449266
1,1,1,70,0.238826036,0.715584993,2,1,42.06136354,36.52797209
1,0,0,73,0.084899902,0.715584993,2,1,-45.90461745,38.75326443
1,0,1,78,0.124749899,1.160643953,5,0,-35.27783005,52.49032413
1,0,0,72,0.146617174,0.715584993,2,1,-46.23413137,39.12952105
1,1,1,71,0.096652031,0.715584993,2,1,42.66059454,38.84030069
1,1,1,83,0.506653786,1.160643953,5,1,43.32077521,52.46416699
1,1,0,70,0.338491917,1.160643953,5,0,45.68697717,57.93923672
1,1,1,65,0.240401983,1.160643953,5,1,45.90505608,56.21603708
1,0,0,70,0.15246892,0.715584993,2,1,-49.36765223,37.57298111
