Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Prompt_time
3,1,2,40,2.1275,4.0847,0.08,0.05
3,1,1,91,2.0336,4.5791,0.16,1.5
3,1,2,100,1.2182,2.8294,0.02,0.75
3,1,1,90,1.6467,3.3041,0.16,0.75
3,1,2,90,2.2766,4.207,0.02,1.5
3,2,2,89,1.7063,3.6982,0.02,1.5
3,1,1,90,1.8898,3.378,0.02,0.75
3,2,2,81,1.0614,2.6956,0.08,0.05
3,2,2,94,1.3073,3.3764,0.16,1.5
3,1,2,50,2.0037,3.2689,0.02,0.05
3,1,2,67,1.5681,3.3024,0.08,0.75
3,2,2,100,1.3482,2.2674,0.08,0.75
3,2,1,99,1.3813,2.2313,0.02,0.05
3,2,2,100,1.4223,2.3184,0.08,0.05
3,1,1,99,1.3929,2.2121,0.16,0.05
3,1,1,100,1.2542,2.0812,0.02,0.75
3,1,2,61,1.2324,2.6515,0.04,0.05
3,2,2,60,2.226,4.8176,0.16,1.5
3,1,1,100,1.5509,2.6086,0.16,0.75
3,1,2,49,3.8448,5.8173,0.04,0.05
3,2,1,100,1.6665,3.6433,0.02,1.5
3,2,1,50,2.7438,4.5857,0.08,0.75
3,1,1,60,1.7629,4.6775,0.08,1.5
3,2,2,40,4.0316,5.6351,0.08,0.05
3,2,2,100,2.0172,3.9325,0.08,1.5
3,2,2,49,2.7289,4.8285,0.04,1.5
3,2,1,50,3.1262,5.1182,0.02,1.5
3,2,1,50,3.1634,4.9284,0.04,0.75
3,1,1,99,1.5128,2.5012,0.16,0.05
3,1,1,100,1.4936,2.2588,0.04,0.75
3,1,2,59,1.8899,3.1704,0.02,0.05
3,1,1,80,2.9238,4.5931,0.04,1.5
3,2,2,87,1.7852,2.5661,0.16,0.75
3,2,2,99,1.077,3.3001,0.16,1.5
3,1,2,78,2.1137,3.3867,0.02,0.75
3,1,2,61,1.4629,3.674,0.08,0.75
3,1,1,57,1.6925,5.0721,0.04,0.75
