Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
9,1,2,2,0.849,0.766,1,0,12,1,8,7,134,196,1
9,1,1,2,1.408,1.194,1,1,13,1,7,7,177,236,1
9,1,2,1,0.694,1.784,1,0,14,1,8,7,857,227,1
9,1,1,1,2.711,0.487,1,1,15,1,8,7,104,100,1
9,2,2,1,1.231,1.13,1,1,16,1,9,9,707,707,0
9,2,2,1,2.282,1.133,1,1,17,1,7,7,613,613,0
9,2,1,2,2.052,0.586,1,0,18,2,8,8,2183,2183,0
9,1,2,2,0.181,0.557,1,0,19,2,8,6,175,160,2
9,2,1,1,1.19,0.358,1,0,20,2,6,6,422,422,0
9,2,1,2,2.075,1.321,1,0,21,2,9,9,653,653,0
9,2,2,2,0.88,0.526,1,1,22,2,8,8,328,328,0
9,1,2,2,1.11,0.824,1,0,23,2,9,9,120,1042,1
9,1,1,2,1.326,1.572,1,1,24,2,8,6,455,457,2
9,1,2,2,2.469,1.61,1,0,25,2,9,9,2212,100,2
9,2,1,2,1.618,0.662,1,0,26,2,7,7,212,212,0
9,1,1,2,1.26,1.952,1,1,27,2,8,7,962,408,2
9,2,2,2,1.146,0.671,1,1,28,2,7,7,248,248,0
9,2,2,2,0.84,0.591,1,1,29,2,8,8,1026,1026,0
9,1,2,2,1.108,1.438,1,0,30,2,8,6,896,100,2
9,1,1,2,0.997,1.594,1,1,31,2,8,7,976,283,2
9,2,2,2,0.147,1.444,1,1,32,2,7,7,920,920,0
10,1,1,2,2.568,3.62,1,1,1,0,NaN,NaN,NaN,NaN,NaN
10,2,2,4,1.158,2.318,1,1,2,0,NaN,NaN,NaN,NaN,NaN
10,2,2,2,2.441,2.438,1,1,3,1,8,8,248,248,0
10,2,1,3,2.077,0.659,1,0,4,1,8,8,162,162,0
10,1,2,1,1.728,2.278,1,0,5,1,8,8,594,100,1
10,1,2,2,1.89,2.264,1,0,6,1,7,7,618,1644,1
10,1,1,1,0.829,1.425,1,1,7,1,8,7,104,100,1
10,2,2,2,1.933,2.409,1,1,8,1,9,9,707,707,0
10,2,2,3,0.982,1.884,1,1,9,1,7,7,126,126,0
10,1,1,4,0.94,0.874,1,1,10,1,8,7,272,12786,0
10,1,2,2,0.856,2.386,1,0,11,1,8,9,3412,100,1
10,1,1,4,0.908,0.658,1,1,12,1,8,7,134,196,1
10,2,NaN,2,NaN,1.396,1,NaN,13,1,8,8,1124,1124,0
10,1,2,1,1.067,1.108,1,0,14,1,8,7,1022,556,1
10,1,2,1,0.61,1.05,1,0,15,1,7,7,177,236,1
10,2,2,4,0.459,1.827,1,1,16,1,7,7,613,613,0
10,1,2,1,0.698,0.993,1,0,17,1,8,7,857,227,1
10,1,2,2,0.73,0.79,1,0,18,2,9,9,2212,100,2
10,1,1,1,0.851,2.215,1,1,19,2,8,6,175,160,2
10,1,2,2,0.783,1.146,1,0,20,2,9,9,120,1042,1
10,1,1,3,0.826,2.091,1,1,21,2,8,6,896,100,2
10,2,2,2,1.962,1.108,1,1,22,2,6,6,422,422,0
10,2,2,2,0.392,0.772,1,1,23,2,7,7,248,248,0
10,1,1,2,1.95,1.411,1,1,24,2,8,7,976,283,2
10,2,2,1,0.611,1.418,1,1,25,2,7,7,920,920,0
10,2,2,2,1.341,1.126,1,1,26,2,7,7,212,212,0
10,1,1,2,1.201,0.93,1,1,27,2,8,6,455,457,2
10,2,1,1,2.38,0.574,1,0,28,2,9,9,653,653,0
10,2,2,1,0.87,1.401,1,1,29,2,8,8,1026,1026,0
10,1,2,1,1.085,0.975,1,0,30,2,8,7,962,408,2
10,2,2,1,1.309,0.509,1,1,31,2,8,8,328,328,0
10,2,2,1,0.58,0.95,1,1,32,2,8,8,2183,2183,0
11,1,1,4,2.287,2.347,1,1,1,0,NaN,NaN,NaN,NaN,NaN
11,2,2,4,1.98,2.253,1,1,2,0,NaN,NaN,NaN,NaN,NaN
11,1,2,1,2.651,3.226,1,0,3,1,8,7,1022,556,1
11,1,NaN,2,NaN,1.861,1,NaN,4,1,8,7,104,100,1
11,2,2,1,1.478,3.091,1,1,5,1,9,9,707,707,0
11,1,1,1,2.063,1.091,1,1,6,1,8,7,134,196,1
11,1,1,4,2.18,2.091,1,1,7,1,8,7,857,227,1
11,1,1,4,1.288,0.413,1,1,8,1,8,7,272,12786,0
11,1,1,1,2.189,1.282,1,1,9,1,8,8,594,100,1
11,2,1,4,0.662,0.579,1,0,10,1,7,7,613,613,0
11,1,2,1,1.517,1.141,1,0,11,1,8,9,3412,100,1
11,2,2,1,0.903,1.002,1,1,12,1,8,8,162,162,0
11,1,2,1,0.929,1.022,1,0,13,1,7,7,177,236,1
11,1,2,1,0.899,1.014,1,0,14,1,7,7,618,1644,1
11,2,2,1,0.82,1.447,1,1,15,1,7,7,126,126,0
11,2,1,1,2.733,1.163,1,0,16,1,8,8,1124,1124,0
11,2,2,4,0.51,1.666,1,1,17,1,8,8,248,248,0
11,1,1,1,1.006,0.805,1,1,18,2,9,9,2212,100,2
11,1,2,1,1.518,0.792,1,0,19,2,8,6,455,457,2
11,1,1,1,1.247,0.928,1,1,20,2,9,9,120,1042,1
11,2,2,1,1.828,2.189,1,1,21,2,8,8,1026,1026,0
11,1,2,1,2.256,0.938,1,0,22,2,8,6,896,100,2
11,2,1,4,2.111,1.049,1,0,23,2,8,8,2183,2183,0
11,2,2,4,2.454,1.54,1,1,24,2,6,6,422,422,0
11,2,NaN,4,NaN,1.532,1,NaN,25,2,7,7,920,920,0
11,2,2,1,1.476,1.422,1,1,26,2,7,7,212,212,0
11,1,1,1,1.164,1.17,1,1,27,2,8,7,962,408,2
11,2,2,4,2.105,1.176,1,1,28,2,7,7,248,248,0
11,2,2,1,0.739,1.011,1,1,29,2,9,9,653,653,0
11,2,2,1,0.779,0.777,1,1,30,2,8,8,328,328,0
11,1,2,1,0.699,1.777,1,0,31,2,8,6,175,160,2
11,1,1,1,1.514,0.788,1,1,32,2,8,7,976,283,2
12,2,2,4,1.633,3.096,1,1,1,0,NaN,NaN,NaN,NaN,NaN
12,1,1,4,2.334,1.677,1,1,2,0,NaN,NaN,NaN,NaN,NaN
12,1,NaN,2,NaN,2.483,1,NaN,3,1,8,9,3412,100,1
12,1,2,2,1.739,2.057,1,0,4,1,7,7,618,1644,1
12,2,2,2,1.504,1.362,1,1,5,1,8,8,162,162,0
12,2,2,4,1.537,1.679,1,1,6,1,8,8,248,248,0
12,2,2,2,1.967,1.728,1,1,7,1,7,7,613,613,0
12,2,1,2,2.685,0.909,1,0,8,1,9,9,707,707,0
12,1,2,2,2.366,0.894,1,0,9,1,8,8,594,100,1
12,1,2,2,1.488,1.628,1,0,10,1,7,7,177,236,1
12,1,2,2,1.59,0.784,1,0,11,1,8,7,857,227,1
12,1,NaN,2,NaN,0.785,1,NaN,12,1,8,7,134,196,1
12,1,NaN,4,NaN,1.579,1,NaN,13,1,8,7,272,12786,0
12,1,2,2,1.472,1.029,1,0,14,1,8,7,104,100,1
12,2,2,2,1.049,1.088,1,1,15,1,8,8,1124,1124,0
12,2,2,2,0.918,1.623,1,1,16,1,7,7,126,126,0
12,1,2,2,1.376,1.401,1,0,17,1,8,7,1022,556,1
12,2,2,2,0.842,1.294,1,1,18,2,7,7,248,248,0
12,1,2,2,0.856,0.64,1,0,19,2,8,6,896,100,2
