Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
12,2,5,65,3,1.2916,3.4127,2,5.486,0,1.7232
12,2,6,66,3,0.62484,3.0774,2,2.1229,1,1.3958
12,2,7,67,3,0.73522,3.2208,3,0.82778,1,2.3797
12,2,8,68,3,1.2003,2.0671,3,1.5152,1,1.9906
12,2,9,69,3,0.65759,3.2267,1,1.134,0,0.96783
12,2,10,70,3,0.70545,2.8244,2,0.83325,1,1.0174
12,2,11,71,3,0.50494,2.3234,3,0.97039,0,1.4719
12,2,12,72,3,0.44521,2.8067,2,1.3182,1,1.7687
12,2,13,73,3,0.34812,2.5438,1,0.93524,0,1.283
12,2,14,74,3,0.6483,3.0927,1,1.4703,0,1.5586
12,2,15,75,3,0.60721,2.2875,2,0.88064,1,3.9031
12,2,16,76,3,0.58563,2.8974,1,1.0509,1,0.51906
