Subj_idx,Trial,Block,Stimulus,Response,Error,Confidence,ErrorDirectionJudgment,RT_conf,RT_directionJudgment,trialFilter,madFilter
2,10,1,304.4397463,263.8477801,-40.59196617,3,1,0.585950184,0.674683875,1,1
2,11,1,304.4397463,243.551797,-60.88794926,2,-1,0.279418465,0.972978931,1,1
2,12,1,304.4397463,284.1437632,-20.29598309,3,-1,0.745210516,0.988996749,1,1
2,13,1,466.807611,547.9915433,81.18393235,3,1,0.738900117,0.838879353,1,1
2,14,1,466.807611,446.5116279,-20.29598309,3,-1,0.645097039,0.647684435,1,1
2,15,1,466.807611,426.2156448,-40.59196617,3,-1,0.778320149,0.508693014,1,1
2,16,1,466.807611,487.1035941,20.29598309,2,1,0.92642769,0.972671663,1,1
2,17,1,304.4397463,202.9598309,-101.4799154,2,1,0.692513835,0.689713224,1,1
2,18,1,304.4397463,405.9196617,101.4799154,2,1,1.212469466,0.963614471,1,1
2,19,1,669.7674419,690.0634249,20.29598309,3,1,1.773789101,1.311022541,1,1
2,20,1,669.7674419,588.5835095,-81.18393235,2,-1,1.007078991,1.053501134,1,1
2,21,1,304.4397463,284.1437632,-20.29598309,3,1,0.4261232,0.548528695,1,1
2,22,1,669.7674419,629.1754757,-40.59196617,2,-1,1.090585598,0.904474384,1,1
2,23,1,669.7674419,466.807611,-202.9598309,2,1,0.413275017,0.727319865,1,1
2,24,1,304.4397463,243.551797,-60.88794926,3,-1,0.799474012,0.512565401,1,1
2,25,1,669.7674419,547.9915433,-121.7758985,3,1,0.792890426,0.303776123,1,1
2,26,1,304.4397463,202.9598309,-101.4799154,3,-1,1.06494624,0.20876047,1,1
2,27,1,669.7674419,568.2875264,-101.4799154,3,-1,0.959553907,0.367404766,1,1
2,28,1,669.7674419,568.2875264,-101.4799154,2,1,1.024307341,0.749716979,1,1
2,29,1,669.7674419,649.4714588,-20.29598309,3,1,0.810740216,1.06297852,1,1
2,30,1,669.7674419,690.0634249,20.29598309,2,-1,0.726654684,0.84495383,1,1
2,31,1,466.807611,466.807611,-6.25E-13,3,-1,1.071918103,0.476638073,1,1
2,32,1,304.4397463,284.1437632,-20.29598309,3,1,1.14890426,0.887642567,1,1
2,33,1,466.807611,466.807611,-6.25E-13,3,1,1.347055498,0.442146679,1,1
2,34,1,669.7674419,547.9915433,-121.7758985,1,1,0.858521082,0.830771991,1,1
2,35,1,669.7674419,568.2875264,-101.4799154,2,1,0.840749918,0.972465258,1,1
2,36,1,466.807611,385.6236786,-81.18393235,2,1,0.564856738,0.866181792,1,1
2,37,1,669.7674419,629.1754757,-40.59196617,2,-1,0.685219142,1.055746378,1,1
2,38,1,304.4397463,324.7357294,20.29598309,3,1,0.754544813,0.549748572,1,1
2,39,1,304.4397463,202.9598309,-101.4799154,2,-1,1.884796759,0.373381132,1,1
2,40,1,304.4397463,263.8477801,-40.59196617,3,1,0.435093618,0.73090941,1,1
2,41,1,304.4397463,284.1437632,-20.29598309,3,-1,0.715930297,0.801829266,1,1
2,42,1,304.4397463,263.8477801,-40.59196617,3,-1,0.906722924,0.393702737,1,1
2,43,1,669.7674419,527.6955603,-142.0718816,2,-1,0.645806896,0.4945137,1,1
2,44,1,304.4397463,365.3276956,60.88794926,3,-1,0.835257385,0.284227794,1,1
2,45,1,466.807611,365.3276956,-101.4799154,2,-1,0.6328456,0.394155801,1,1
2,46,1,304.4397463,223.255814,-81.18393235,1,1,0.730027098,0.781048871,1,1
2,47,1,669.7674419,649.4714588,-20.29598309,2,-1,0.703731154,0.624963909,1,1
2,48,1,669.7674419,487.1035941,-182.6638478,2,1,2.927250925,1.825983031,1,1
2,49,1,466.807611,507.3995772,40.59196617,2,-1,1.04477184,0.970901363,1,1
2,50,1,669.7674419,527.6955603,-142.0718816,3,1,0.717554364,0.926090422,1,1
2,51,1,466.807611,426.2156448,-40.59196617,3,-1,0.764528476,0.560098016,1,1
2,52,1,304.4397463,263.8477801,-40.59196617,3,1,0.65236327,0.586602573,1,1
2,53,1,669.7674419,669.7674419,-9.09E-13,2,-1,3.136047094,0.918331117,1,1
2,54,1,304.4397463,243.551797,-60.88794926,3,-1,0.828548417,0.321111391,1,1
2,55,1,466.807611,263.8477801,-202.9598309,2,-1,1.327483448,0.914069633,1,1
2,56,1,466.807611,507.3995772,40.59196617,1,-1,0.223279964,0.780407131,1,1
2,57,1,669.7674419,649.4714588,-20.29598309,2,-1,0.173193306,1.092413141,1,1
2,58,1,466.807611,466.807611,-6.25E-13,2,-1,0.70577564,0.671476589,1,1
2,59,1,304.4397463,243.551797,-60.88794926,3,-1,0.648003264,1.303039791,1,1
2,60,1,669.7674419,588.5835095,-81.18393235,2,1,1.112977133,0.836872307,1,1
