Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,coherence,Accuracy,Training,Scale
1,260,301.3625,0,2.3648,0.8481,0.062,41.3625,0,continuous scale
1,314,299.0724,3,1.9666,2.0507,0.25,14.9276,0,four-point scale
1,284,119.3405,0,3.2859,1.3323,0.062,164.6595,0,four-point scale
1,48,119.3625,0,5.2282,1.1265,0.062,71.3625,0,four-point scale
1,200,209.5636,0,2.4438,1.0294,0.062,9.5636,0,four-point scale
1,16,359.9458,0,1.739,1.3438,0.062,16.0542,0,four-point scale
1,86,91.4232,1,2.6358,0.9168,0.062,5.4232,0,four-point scale
1,26,30.7086,1,5.7075,1.5397,0.5,4.7086,0,four-point scale
1,282,359.9458,0,2.8213,1.2377,0.016,77.9458,0,four-point scale
1,28,30.3031,1,2.5867,1.0415,0.125,2.3031,0,four-point scale
1,168,209.3645,0,2.7019,1.0278,0.062,41.3645,0,four-point scale
1,163,149.882,1,1.4179,1.094,0.062,13.118,0,four-point scale
1,139,150.9095,1,2.5709,1.1237,0.125,11.9095,0,four-point scale
1,103,119.2631,0,2.8683,0.9847,0.5,16.2631,0,four-point scale
1,108,118.0776,0,3.8155,0.8977,0.25,10.0776,0,four-point scale
1,322,148.3374,1,1.9572,0.9342,0.062,173.6626,0,four-point scale
1,224,240.3676,0,3.6108,0.8659,0.125,16.3676,0,four-point scale
1,23,299.4278,0,2.1049,0.9177,0.125,83.5722,0,four-point scale
1,245,241.4022,0,2.6952,1.0537,0.125,3.5978,0,four-point scale
