"Subj_idx","Run","Block","Trial","Difficulty_col","Difficulty_let","Number_blues","Number_os","Stimulus_col","Stimulus_let","Response_col","Response_let","Accuracy_col","Accuracy_let","RT_dec_col","RT_dec_let","Confidence_col","Confidence_let","RT_confidence_col","RT_confidence_let","Taskorder","Locationchoice_col","Locationchoice_let","Initposconf_col","Initposconf_let"
1,2,2,6,90,60,45,36,1,2,1,2,1,1,0.41281,1.0776,79.4389,94.6422,0.74972,0.7164,2,1,1,68.7855,60.4625
1,2,2,7,90,60,35,36,2,2,1,2,0,1,0.54402,1.0299,83.5449,83.101,0.81636,0.68308,2,1,1,59.1309,93.4215
1,2,2,8,90,90,35,20,2,2,2,2,1,1,1.5872,0.36795,88.3168,94.6422,0.44988,0.5998,1,2,1,82.8791,73.3354
1,2,2,9,90,90,45,20,1,2,1,2,1,1,0.64807,0.37084,77.7743,99.3031,0.54979,0.4664,1,1,2,85.5424,88.0948
1,2,2,10,60,90,39,60,2,1,2,1,1,1,0.5383,0.75475,79.8828,97.1946,0.83302,0.59979,2,1,2,50.8079,98.7482
1,2,2,11,60,90,39,20,2,2,1,2,0,1,0.43787,0.73519,64.7905,100,0.66638,0.66642,2,2,1,87.54,58.1321
1,2,2,12,60,90,39,20,2,2,2,2,1,1,0.72754,0.38142,74.4451,91.9789,0.39981,0.69977,1,1,1,71.005,53.6932
1,2,2,13,90,90,45,60,1,1,1,1,1,1,0.34907,0.81694,85.3205,90.7582,0.6498,0.59974,2,2,1,99.747,92.4228
1,2,2,14,60,60,41,36,1,2,1,1,1,0,0.79545,1.2625,68.5636,58.0211,0.46649,0.56645,2,1,2,61.5723,94.3093
1,2,2,15,90,60,35,44,2,1,1,2,0,0,0.48449,1.175,64.2356,61.6832,0.6331,0.61643,2,1,2,98.7482,67.5648
1,2,2,16,60,90,41,20,1,2,1,2,1,1,0.40161,1.691,96.1958,88.6497,0.56643,0.78304,2,1,2,65.5673,63.5698
1,2,2,17,60,60,39,44,2,1,2,2,1,0,0.88948,1.06,65.2344,61.4613,0.64975,0.38319,1,1,2,52.4725,70.0062
1,2,2,18,60,60,41,44,1,1,2,2,0,0,0.88588,0.70407,65.2344,61.6832,0.78305,0.43314,1,2,2,89.3155,66.5661
1,2,2,19,90,60,45,36,1,2,2,2,0,1,0.90573,0.70328,80.5487,61.5723,0.58308,0.58311,1,1,2,78.2182,62.9039
1,2,2,20,90,90,45,60,1,1,1,1,1,1,0.34615,0.81234,85.5424,87.207,0.66643,0.54981,2,1,2,82.8791,67.6758
1,2,2,21,90,90,35,20,2,2,2,2,1,1,0.9218,0.40799,89.2045,90.9801,0.46649,0.5831,1,1,2,84.4327,73.2244
1,2,2,22,90,60,35,44,2,1,1,2,0,0,0.35034,1.2955,93.7544,83.7669,0.39979,0.59977,2,2,1,86.8741,65.9002
1,2,2,23,90,60,45,44,1,1,1,2,1,0,0.34313,1.2473,98.1934,59.5748,1.083,0.66642,2,2,2,59.7967,61.2393
1,2,2,24,60,60,41,44,1,1,1,1,1,1,1.0162,0.80864,89.9814,67.5648,0.53313,0.36653,1,1,2,95.8629,72.8915
1,2,3,1,90,60,45,36,1,2,1,2,1,1,0.51517,0.40896,94.3093,87.54,1.2995,0.36649,1,2,2,91.646,87.54
1,2,3,2,60,90,41,60,1,1,1,1,1,1,0.29159,0.61742,81.3255,84.7656,0.73306,0.43315,2,2,2,62.571,93.8654
1,2,3,3,60,90,41,20,1,2,1,2,1,1,0.33855,1.0295,97.9714,80.3267,0.48312,0.7164,2,1,2,74.6671,50.9189
1,2,3,4,60,90,39,60,2,1,2,1,1,1,0.84432,0.39946,64.5685,66.4551,0.46653,0.56645,1,2,1,81.2145,58.7979
1,2,3,5,60,60,41,44,1,1,1,2,1,0,0.71792,0.3808,77.7743,73.2244,0.46649,0.69973,1,2,2,66.0112,81.6584
1,2,3,6,60,90,39,20,2,2,2,1,1,0,0.61369,0.37314,70.0062,50.0311,0.64976,1.666,1,2,1,83.9888,92.4228
1,2,3,7,90,90,45,20,1,2,1,2,1,1,0.86249,0.7495,77.7743,71.005,0.69979,0.63303,2,2,2,97.0836,81.5474
1,2,3,8,90,90,35,20,2,2,2,2,1,1,0.68616,0.33221,71.1159,80.3267,0.84968,0.53315,1,1,2,62.0162,74.6671
1,2,3,9,90,60,35,44,2,1,2,1,1,1,2.3652,0.44513,65.3453,77.3304,0.54983,0.83303,1,2,2,83.9888,93.0886
1,2,3,10,90,60,45,44,1,1,1,2,1,0,0.3693,1.5169,82.8791,62.3491,0.68304,0.61643,2,1,1,84.4327,62.571
1,2,3,11,60,60,39,44,2,1,1,1,0,1,0.61314,1.4687,58.1321,58.465,0.81642,0.56643,2,2,1,99.4141,53.9151
1,2,3,12,60,90,39,20,2,2,1,2,0,1,0.37515,0.89453,67.8977,98.7482,0.51647,0.54976,2,2,1,88.9826,57.0224
1,2,3,13,60,90,41,60,1,1,1,1,1,1,0.41238,0.60951,77.5524,99.858,0.43316,0.48315,2,1,2,97.6385,81.8803
1,2,3,14,90,60,35,44,2,1,2,1,1,1,2.1598,0.43325,73.3354,93.5325,0.76639,0.33321,1,2,2,80.9925,83.323
1,2,3,15,60,60,41,44,1,1,1,1,1,1,0.35384,0.62789,72.4476,87.7619,0.36652,0.83303,2,2,2,76.6646,79.217
1,2,3,16,90,90,45,60,1,1,1,1,1,1,0.45651,0.86159,71.7818,98.5263,0.71644,0.71642,2,1,1,61.4613,57.2443
1,2,3,17,90,60,35,36,2,2,2,2,1,1,0.35444,0.80222,88.8716,89.9814,0.51645,0.48316,2,2,1,81.4364,65.1234
1,2,3,18,90,90,35,20,2,2,1,2,0,1,0.44807,0.69811,83.5449,89.0936,0.66641,0.63309,2,1,1,60.4625,61.1284
1,2,3,19,60,60,39,36,2,2,2,2,1,1,0.74864,0.48236,82.5462,80.8816,0.51647,0.59979,1,1,2,78.4402,82.1023
1,2,3,20,90,90,45,60,1,1,1,1,1,1,0.58885,0.38528,88.7607,83.9888,0.58311,0.63309,1,1,1,88.3168,68.0087
1,2,3,21,60,60,39,44,2,1,2,2,1,0,0.51767,1.1065,83.323,78.6621,0.49981,0.73306,2,2,1,77.8853,92.4228
1,2,3,22,90,90,45,20,1,2,1,2,1,1,0.64834,0.33695,95.3081,97.4165,0.54985,0.49986,1,2,1,95.9739,88.8716
1,2,3,23,90,60,35,36,2,2,2,2,1,1,0.61019,0.60632,85.8754,90.5362,0.51644,0.54979,1,1,1,77.9963,84.0998
1,2,3,24,60,60,41,36,1,2,1,2,1,1,0.75719,0.42484,89.0936,89.2045,0.73309,0.66638,1,2,2,72.5586,98.7482
1,2,4,1,90,90,35,20,2,2,1,2,0,1,0.40587,0.72757,82.5462,93.4215,0.56648,0.68302,2,2,1,88.7607,97.9714
1,2,4,2,90,60,45,44,1,1,1,1,1,1,0.59748,0.39445,89.6484,86.7631,0.51646,0.51648,1,2,1,82.2132,79.6609
