Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition
4,2,1,2,0.50193,0.20823,Small
4,1,1,2,0.54704,0.15906,Small
4,5,2,2,0.37294,0.2379,Small
4,4,2,1,0.45051,0.47567,Small
4,2,2,1,0.98532,0.42533,Small
4,1,1,3,0.83575,0.38466,Small
4,3,1,3,0.72648,0.17415,Small
4,6,2,2,0.45069,0.23586,Small
4,2,2,1,0.4242,0.33203,Small
4,5,1,1,0.94828,0.41586,Small
4,3,1,2,0.40024,0.1906,Small
4,4,1,2,0.5937,0.20683,Small
4,2,1,2,0.93778,0.18806,Small
4,6,2,1,0.30058,0.41504,Small
4,7,2,2,0.55407,0.19114,Small
4,7,2,2,0.66886,0.14442,Small
4,7,2,2,0.30734,0.15918,Small
4,3,1,2,0.90218,0.30439,Small
4,4,1,2,0.37677,0.25134,Small
4,4,1,2,0.51846,0.23684,Small
4,6,2,2,0.40537,0.42892,Small
4,3,1,2,1.356,0.27279,Small
4,1,1,2,0.72512,0.33274,Small
4,2,1,2,0.69309,0.30222,Small
4,1,1,2,0.45863,0.17312,Small
4,7,2,2,0.63088,0.3318,Small
4,5,2,1,0.60951,0.35327,Small
4,3,1,2,0.70953,0.19324,Small
4,6,2,2,0.34041,0.19083,Small
4,3,1,2,0.42995,0.21884,Small
4,7,2,2,0.53694,0.0017142,Small
4,1,1,2,0.72632,0.25415,Small
4,2,1,2,0.72095,0.3513,Small
4,1,1,2,0.60893,0.3367,Small
4,7,2,2,0.5758,0.27259,Small
4,1,1,2,0.73193,0.27844,Small
4,5,2,2,0.46538,0.23696,Small
4,6,2,1,0.36947,0.24129,Small
4,6,2,2,0.4618,0.25613,Small
4,3,1,2,0.0015129,0.51768,Small
4,2,1,2,0.68195,0.26567,Small
4,1,1,2,0.63543,0.36839,Small
4,6,2,2,0.66783,0.31928,Small
4,5,2,2,0.42641,0.33409,Small
4,2,1,2,0.54379,0.2836,Small
4,6,2,2,0.83731,0.4115,Small
4,2,1,2,0.48634,0.33428,Small
4,2,1,2,0.51704,0.21961,Small
4,5,2,2,0.43327,0.22219,Small
4,7,2,2,0.39458,0.19172,Small
4,6,2,2,0.46674,0.28644,Small
4,5,2,2,0.77492,0.28778,Small
4,6,2,1,0.34558,0.25326,Small
4,4,2,2,0.73901,0.22123,Small
4,4,2,3,0.4858,0.55745,Small
4,7,2,2,0.48989,0.26689,Small
4,4,2,1,0.65949,0.33397,Small
4,1,1,3,0.49957,0.41397,Small
4,2,1,3,0.461,0.35143,Small
4,5,2,2,0.34931,0.38495,Small
4,4,2,1,0.70959,0.24127,Small
4,2,1,2,0.43334,0.2241,Small
4,4,2,2,0.38189,0.30424,Small
4,4,2,2,0.31953,0.26984,Small
4,4,2,1,0.32521,0.23704,Small
4,7,2,2,0.56006,0.3342,Small
4,5,2,1,0.38685,0.31856,Small
4,3,1,1,0.63343,0.30267,Small
4,6,2,2,0.37769,0.63602,Small
4,6,2,2,0.35788,0.26819,Small
4,7,2,3,0.36591,0.12574,Small
4,7,2,2,0.41549,0.30461,Small
4,3,2,2,0.50871,0.080567,Small
4,5,1,1,0.67714,0.18739,Small
4,6,2,2,0.42637,0.28602,Small
4,3,2,2,0.9933,0.62221,Small
4,7,2,2,0.38234,0.30458,Small
4,2,1,2,0.3759,0.19295,Small
4,5,2,2,0.35477,0.22383,Small
4,1,1,3,0.51226,0.26932,Small
