Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy
1,2,2,1,0.61503,0.35178,0.32661,H,1
1,1,1,3,0.46301,0.37506,0.32472,H,1
1,1,1,3,0.29927,0.53404,0.32311,H,1
1,2,2,1,0.35224,0.30552,0.32149,H,1
1,2,2,2,0.28776,0.33996,0.31986,H,1
1,1,2,2,0.035981,0.21722,0.31821,H,0
1,1,1,1,0.45768,0.2233,0.32052,H,1
1,1,1,1,0.34064,0.1409,0.31889,H,1
1,1,1,1,0.46959,0.27598,0.31724,H,1
1,1,2,1,0.44601,0.33471,0.31555,H,0
1,1,1,1,0.36976,0.311,0.31793,H,1
1,2,1,1,0.51614,0.25794,0.31627,H,0
1,2,1,1,0.66242,0.31888,0.3186,H,0
1,1,1,3,0.15292,0.27598,0.32087,H,1
1,1,1,1,0.099983,0.27606,0.31927,H,1
1,1,1,5,0.33429,0.29368,0.53216,E,1
1,1,1,4,0.1823,0.89119,0.53157,E,1
1,1,1,2,0.3812,0.80305,0.53098,E,1
1,2,2,3,0.23476,0.24039,0.53037,E,1
1,1,1,4,0.25787,0.28204,0.52974,E,1
1,1,1,5,0.40439,0.31067,0.52909,E,1
1,2,2,1,0.31652,0.24661,0.52843,E,1
1,2,1,1,0.77995,0.24656,0.52773,E,0
1,1,1,5,0.44511,0.3348,0.52997,E,1
1,2,2,6,0.56333,0.25223,0.52934,E,1
1,2,2,4,0.31077,0.33466,0.52869,E,1
1,1,1,1,0.5983,0.14659,0.52802,E,1
1,1,1,3,0.48029,0.54558,0.52733,E,1
1,1,1,2,0.55131,0.31682,0.52661,E,1
1,2,2,4,0.40451,0.22311,0.52585,E,1
1,2,2,4,0.77415,0.5749,0.52507,E,1
1,2,2,5,0.16479,0.49283,0.52425,E,1
1,1,1,5,0.4989,0.21744,0.52339,E,1
1,2,2,6,0.099561,0.3108,0.52248,E,1
1,2,2,5,0.33389,0.28156,0.52153,E,1
1,1,1,4,0.25811,0.33482,0.52053,E,1
1,1,1,6,0.32279,0.28125,0.51949,E,1
1,1,1,5,0.36912,0.41042,0.5185,E,1
1,1,1,5,0.10034,0.24692,0.51757,E,1
1,2,2,6,0.11219,0.4278,0.51669,E,1
1,2,2,6,0.51003,0.3868,0.51584,E,1
1,2,2,6,0.30507,0.31052,0.51505,E,1
1,2,2,4,0.48625,0.42178,0.51429,E,1
1,2,2,3,0.22261,0.34053,0.51356,E,1
1,1,1,5,0.38119,0.40479,0.51287,E,1
1,1,1,4,0.37489,0.32817,0.5122,E,1
1,2,2,1,1.0787,0.45143,0.51157,E,1
1,2,2,2,0.29942,0.17008,0.51096,E,1
1,2,2,2,0.52199,0.49815,0.51037,E,1
1,1,2,1,0.70917,0.32836,0.5098,E,0
1,1,2,1,0.31069,0.2759,0.512,E,0
1,2,2,3,0.47531,0.2937,0.51446,E,1
1,1,1,4,0.076784,0.48651,0.51375,E,1
1,1,1,6,0.35786,0.34048,0.51307,E,1
1,2,2,3,0.11179,0.45185,0.51243,E,1
1,2,2,5,0.36884,0.3574,0.51181,E,1
1,2,2,5,0.48608,0.29938,0.51121,E,1
1,2,1,4,0.85578,0.3288,0.51064,E,0
1,2,2,4,0.264,0.39865,0.51284,E,1
1,1,1,2,0.2821,0.25809,0.51222,E,1
1,1,1,3,0.30507,0.28701,0.51162,E,1
1,2,2,4,0.87966,0.33434,0.51104,E,1
1,1,2,4,0.41632,0.4574,0.51049,E,0
1,1,1,5,0.40479,0.13529,0.51262,E,1
1,1,1,5,0.088152,0.25825,0.51202,E,1
1,1,1,1,0.30543,0.30486,0.31765,H,1
1,2,1,1,0.299,0.20574,0.316,H,0
1,2,2,1,0.28716,0.18821,0.31832,H,1
1,1,1,1,0.15835,0.28141,0.3167,H,1
1,2,2,1,0.36932,0.22898,0.31504,H,1
1,1,2,1,0.5105,0.27566,0.31335,H,0
1,1,2,1,0.22898,0.35769,0.31575,H,0
1,1,2,1,0.16412,0.42206,0.31805,H,0
1,1,1,1,0.62662,0.29378,0.32027,H,1
1,2,2,3,0.2528,0.29952,0.31871,H,1
1,1,1,3,0.34613,0.29878,0.31711,H,1
1,2,2,2,0.32882,0.3108,0.31549,H,1
1,1,2,1,0.52176,0.2814,0.31384,H,0
1,2,2,1,0.4397,0.26974,0.31618,H,1
1,2,2,1,0.63893,0.24649,0.31455,H,1
1,2,1,1,0.46844,0.4517,0.31288,H,0
1,1,2,1,0.11148,0.31079,0.31525,H,0
1,1,2,1,0.053064,0.27602,0.31751,H,0
1,1,1,1,0.076968,0.30476,0.3197,H,1
1,2,1,1,0.070266,0.29891,0.31816,H,0
1,1,2,1,0.39256,0.3399,0.32033,H,0
1,1,1,2,0.31051,0.34599,0.32243,H,1
1,1,1,1,0.36924,0.26406,0.32094,H,1
1,1,2,1,0.2232,0.31085,0.31943,H,0
1,1,1,2,0.75621,0.29325,0.32154,H,1
1,1,2,1,0.48651,0.31072,0.32004,H,0
1,1,1,1,0.21705,0.29374,0.32213,H,1
1,2,1,1,0.65033,0.33414,0.32065,H,0
1,1,1,1,0.40445,0.12344,0.32272,H,1
1,1,1,1,0.74998,0.030139,0.32125,H,1
1,2,1,1,0.39253,0.31664,0.31977,H,0
1,2,2,3,0.88495,0.39318,0.32184,H,1
1,2,2,2,0.35764,0.39889,0.32037,H,1
1,2,2,1,0.087888,0.047267,0.31889,H,1
1,1,1,1,0.58042,0.48718,0.31738,H,1
1,1,1,1,0.13494,0.27542,0.31585,H,1
1,2,1,1,0.22279,0.22294,0.31429,H,0
1,2,2,4,0.16439,0.24057,0.3165,H,1
1,1,2,1,0.33431,0.29382,0.31496,H,0
1,2,2,1,0.66786,0.28136,0.31713,H,1
1,1,2,1,0.33982,0.37525,0.31561,H,0
1,2,1,1,0.67371,0.32819,0.31775,H,0
1,1,1,2,0.32309,0.064548,0.31983,H,1
1,2,1,1,0.3515,0.29964,0.31837,H,0
1,2,1,1,0.37516,0.28156,0.32041,H,0
1,1,2,1,0.40455,0.26405,0.32241,H,0
1,1,1,1,0.30505,0.24109,0.32437,H,1
1,2,1,1,0.53326,0.3163,0.32297,H,0
1,1,1,1,0.31055,0.31698,0.32491,H,1
1,1,1,1,1.0374,0.31074,0.32352,H,1
1,1,1,1,0.52213,0.48077,0.51144,E,1
1,1,2,1,0.3694,0.34042,0.51088,E,0
1,2,2,4,0.12329,0.31084,0.51302,E,1
1,2,2,5,0.18188,0.18767,0.51241,E,1
1,2,2,5,0.2525,0.28729,0.51182,E,1
1,2,2,6,0.041194,0.029866,0.51126,E,1
1,2,2,5,0.31674,0.48608,0.51072,E,1
1,2,2,1,0.51562,0.28188,0.5102,E,1
