Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Session,Visual_search_accuracy
1,0,1,2,1.059875,0.539871,0.372553,4,0,1,1
1,0,1,2,1.339767,1.499548,0.409808,4,0,1,1
1,1,1,2,0.989862,0.769807,0.338684,3,1,1,1
1,1,1,3,0.9499,1.399587,0.338684,3,1,1,1
1,1,1,3,0.400081,0.479887,0.338684,3,1,1,1
1,0,0,3,1.509715,0.959741,0.338684,3,1,1,1
1,1,1,3,0.659984,0.949741,0.307895,3,1,1,1
1,0,0,3,0.440067,0.589861,0.307895,3,1,1,0
1,1,0,3,0.919922,1.109677,0.307895,3,0,1,1
1,1,1,1,0.580044,1.449563,0.307895,3,1,1,1
1,0,0,2,0.530016,1.379602,0.307895,3,1,1,1
1,1,1,2,1.729635,0.969741,0.279904,3,1,1,1
1,1,1,2,0.65993,0.559863,0.279904,3,1,1,0
1,1,1,2,1.399719,1.069693,0.279904,3,1,1,1
1,1,1,2,1.049881,0.849768,0.279904,3,1,1,1
1,1,1,2,1.749622,1.129683,0.279904,3,1,1,0
1,1,1,2,0.980023,0.879775,0.279904,3,1,1,1
1,1,1,2,0.8699,0.669845,0.279904,3,1,1,0
1,0,1,3,0.560002,0.719809,0.279904,3,0,1,0
1,1,1,2,1.269804,0.769796,0.307895,3,1,1,1
1,1,1,4,1.099865,2.509209,0.307895,3,1,1,1
1,1,1,1,0.94987,0.739818,0.307895,3,1,1,1
1,1,1,1,2.189466,1.399596,0.307895,3,1,1,1
1,0,1,2,1.029875,0.599857,0.307895,3,0,1,1
1,1,1,3,0.729972,0.89977,0.338684,3,1,1,1
1,1,1,1,1.849594,1.349613,0.338684,3,1,1,1
1,1,1,2,1.229814,0.969734,0.338684,3,1,1,1
1,1,0,3,0.640005,1.749482,0.338684,3,0,1,0
1,1,1,2,0.979901,0.729817,0.338684,3,1,1,1
1,1,1,2,0.689949,0.72982,0.338684,3,1,1,0
1,0,1,2,0.430085,1.019711,0.338684,3,0,1,1
1,1,1,2,0.440083,0.689816,0.372553,3,1,1,1
1,0,1,2,0.300139,0.609837,0.372553,3,0,1,0
1,1,1,3,0.40008,0.689831,0.409808,3,1,1,0
1,1,0,2,0.729935,0.829795,0.409808,3,0,1,0
