Subj_idx,Stimulus,Response,Accuracy,Confidence,RT_dec,Difficulty,Condition
23,2,1,0,1,0.528,16,1000
23,1,1,1,1,0.253,32,1000
23,1,1,1,2,0.355,64,1000
23,2,2,1,4,0.336,128,1000
23,2,2,1,3,0.374,32,1000
23,1,1,1,3,0.424,64,1000
23,1,1,1,3,0.429,32,1000
23,1,1,1,3,0.389,32,1000
23,1,1,1,4,0.378,128,1000
23,2,1,0,3,0.702,32,1000
23,1,1,1,4,0.474,128,1000
23,1,1,1,4,0.369,64,1000
23,2,2,1,4,0.365,128,1000
23,2,2,1,4,1.208,64,1000
23,2,2,1,4,0.557,64,1000
23,2,2,1,4,0.557,128,1000
23,2,2,1,2,0.614,16,1000
23,1,1,1,1,0.641,16,1000
23,1,1,1,2,0.351,32,1000
23,2,2,1,1,1.163,32,1000
23,1,1,1,3,0.402,64,1000
23,1,1,1,3,0.348,32,1000
23,1,1,1,3,0.577,32,1000
23,2,2,1,4,0.495,128,1000
23,1,1,1,2,1.624,16,1000
23,1,1,1,2,0.306,16,1000
23,2,2,1,1,0.809,32,1000
23,1,1,1,2,0.313,32,1000
23,2,1,0,1,0.806,16,1000
23,2,2,1,3,0.281,64,1000
23,2,1,0,3,1.579,64,1000
23,2,1,0,1,0.4,16,1000
23,1,1,1,4,0.391,128,1000
23,1,1,1,3,0.319,32,1000
23,1,1,1,3,0.412,64,1000
23,2,2,1,3,0.294,32,1000
23,1,1,1,3,0.357,64,1000
23,2,2,1,1,0.536,16,1000
23,2,1,0,1,0.858,16,1000
23,2,2,1,4,0.382,128,1000
23,1,1,1,1,0.731,32,1000
23,2,2,1,4,0.584,128,1000
23,1,1,1,3,0.448,32,1000
23,2,2,1,4,0.312,64,1000
23,1,1,1,4,0.453,128,1000
23,2,2,1,4,0.35,128,1000
23,1,2,0,2,0.432,16,1000
23,2,1,0,1,0.476,16,1000
23,2,1,0,1,0.61,32,1000
23,1,2,0,1,0.404,16,1000
23,1,1,1,1,0.46,16,1000
23,1,1,1,3,0.276,64,1000
23,2,2,1,4,0.342,128,1000
23,1,1,1,4,0.389,64,1000
23,2,1,0,1,0.304,16,1000
23,2,2,1,4,0.386,64,1000
23,1,1,1,4,0.296,64,1000
32,2,2,1,2,1.398,32,1000
32,1,2,0,1,1.919,16,1000
32,1,1,1,4,0.863,128,1000
32,1,1,1,1,0.573,16,1000
32,2,2,1,1,0.291,32,1000
32,1,1,1,4,0.19,128,1000
32,1,1,1,3,0.114,64,1000
32,2,2,1,4,0.133,64,1000
32,1,1,1,2,0.148,16,1000
32,2,1,0,1,0.167,16,1000
32,2,2,1,3,0.857,32,1000
